Tỉnh,Quận,Trường
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Phúc Sơn 2 (24220602)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Vĩnh Khương (24220603)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Bồng Am (24220604)
Tỉnh Bắc Giang,Huyện Sơn Động,Trường TH&THCS Tuấn Mậu (24220605)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Việt Lập (24216401)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Tân Trung (24216402)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Song Vân (24216403)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Ngọc Vân (24216404)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Việt Ngọc (24216405)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Ngọc Thiện 1 (24216406)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Ngọc Thiện 2 (24216407)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Liên Chung (24216408)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Hợp Đức (24216409)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Phúc Hoà (24216410)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học An Dương (24216411)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Nhã Nam (24216413)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Nguyên Hồng (24216414)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Phúc Sơn (24216415)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Lam Cốt (24216416)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Ngọc Châu (24216417)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Cao Xá (24216418)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Quế Nham (24216420)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Ngọc Lý (24216421)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Cao Thượng (24216422)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Liên Sơn (24216423)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Lan Giới (24216424)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học Đại Hoá (24216425)
Tỉnh Bắc Giang,Huyện Tân Yên,Trường Tiểu học TT Cao Thượng (24216426)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Ngô Sĩ Liên (24213401)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Trần Phú (24213402)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Dĩnh Kế (24213403)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Võ Thị Sáu (24213404)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Đông Thành (24213405)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Lê Hồng Phong (24213406)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Song Mai (24213407)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Nam Hồng (24213408)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Minh Khai (24213409)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Đa Mai (24213410)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Lê Lợi (24213411)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Dĩnh Trì (24213412)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Tân Tiến (24213413)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Đồng Sơn (24213414)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Tân Mỹ (24213415)
Tỉnh Bắc Giang,Thành phố Bắc Giang,Trường Tiểu học Nguyễn Khắc Nhu (24213416)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Thượng Lan (24222401)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Hương Mai (24222405)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Bích Sơn (24222412)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Bích Động (24222413)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Tự Lạn (24222414)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Ninh Sơn (24222417)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Thị trấn Nếnh (24222421)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Vân Trung (24222423)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Hồng Thái (24222424)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Tăng Tiến (24222425)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Vân Hà (24222426)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Minh Đức (24222429)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Hoàng Ninh (24222430)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Nghĩa Trung (24222431)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Quang Châu (24222432)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Quảng Minh (24222433)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Tiên Sơn (24222434)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Trung Sơn (24222435)
Tỉnh Bắc Giang,Huyện Việt Yên,Trường Tiểu học Việt Tiến (24222436)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Tiền Phong (24221401)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Đồng Phúc (24221403)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Hương Gián (24221404)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Nội Hoàng (24221408)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Yên Lư (24221409)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Thị trấn Nham Biền số 2 (24221411)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Thị trấn Nham Biền số 1 (24221412)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Đồng Việt (24221413)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Xuân Phú (24221414)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Quỳnh Sơn (24221415)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Lãng Sơn (24221416)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Đức Giang (24221417)
Tỉnh Bắc Giang,Huyện Yên Dũng,Trường Tiểu học Tư Mại (24221418)
