Tỉnh,Quận,Trường
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Hữu Cảnh-LX (89883401)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Đoàn Thị Điểm-LX (89883402)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Trung Trực-LX (89883403)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lương Thế Vinh-LX (89883405)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Hàm Nghi-LX (89883406)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Võ Trường Toản-LX (89883407)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Phan Bội Châu-LX (89883408)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Phan Chu Trinh-LX (89883409)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Du-LX (89883410)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lê Lợi-LX (89883411)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lê Văn Nhung-LX (89883412)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lê Quý Đôn-LX (89883413)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Châu Văn Liêm-LX (89883414)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Bỉnh Khiêm-LX (89883415)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Chu Văn An-LX (89883416)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Phạm Hồng Thái-LX (89883417)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Trần Quốc Toản-LX (89883419)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lê Văn Tám-LX (89883420)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Trịnh Hoài Đức-LX (89883422)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Bùi Thị Xuân-LX (89883423)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Khuyến-LX (89883424)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Lê Hồng Phong-LX (89883425)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Trần Quang Khải-LX (89883427)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Trần Phú-LX (89883428)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Nguyễn Văn Cưng-LX (89883429)
Tỉnh An Giang,Thành phố Long Xuyên,Tiểu học Võ Thị Sáu-LX (89883430)
